楼号,单元,门牌号
10,1,101
10,1,102
10,1,103
10,1,104
11,1,101
11,1,102
11,1,103
11,1,104
11,1,105
11,1,106
12,1,101
12,1,102
12,1,103
12,1,104
12,1,105
12,1,106
13,1,101
13,1,102
13,1,103
13,1,104
14,1,101
14,1,102
14,1,103
14,1,104
15,1,101
15,1,102
15,1,103
15,1,104
15,1,105
15,1,106
16,1,101
16,1,102
16,1,103
16,1,104
16,1,105
16,1,106
17,1,101
17,1,102
17,1,103
17,1,104
18,1,101
18,1,102
18,1,103
18,1,104
19,1,101
19,1,102
19,1,103
19,1,104
19,1,105
19,1,106
20,1,101
20,1,102
20,1,103
20,1,104
20,1,105
20,1,106
21,1,101
21,1,102
21,1,103
21,1,104
22,1,101
22,1,102
22,1,103
22,1,104
23,1,101
23,1,102
23,1,103
23,1,104
23,1,105
23,1,106
24,1,101
24,1,102
24,1,103
24,1,104
24,1,105
24,1,106
25,1,101
25,1,102
25,1,103
25,1,104
