软件包名,版本,危害,后门类型,语言,IOC,MD5,财富E站通,智能网点,,,,,,,
@adam_baldwin/pingback,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["ping.evilpacket.net"],cc85094254ef8c25bf047aeef207b9e5,,,,,,,,,
@aznb/extension-gather,1.1.1,敏感信息泄露,敏感信息收集,nodejs,["sub.0xczar.com"],6f00e5fe670277c1433810551d195080,,,,,,,,,
@aznb/extension-gather,1.1.2,敏感信息泄露,敏感信息收集,nodejs,["sub.0xczar.com"],1a3122d627f60be01b483855cc4fd3c0,,,,,,,,,
@aznb/extension-gather,1.2.3,敏感信息泄露,敏感信息收集,nodejs,["sub.0xczar.com"],686a1e1c05027e43c10fed1b81609956,,,,,,,,,
@behemothx00/gd-util,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["f4kggoto2mhz4e9qz3u10hxmkdq8ex.burpcollaborator.net"],92b7db65868b38277f9bf917587eb8a3,,,,,,,,,
@bmw-chris/signalr-default-frontend,51.1.0,敏感信息泄露,敏感信息收集,nodejs,["https://www.pkgio.com/"],595a11d305a6cb5251bf7ef5d190e284,,,,,,,,,
@bsee/accordion,9.9.9,敏感信息泄露,敏感信息收集,nodejs,["sub.0xczar.com"],baf322afaeb58d313dd27da1f1fb0e03,,,,,,,,,
@bsee/accordion,9.9.99,敏感信息泄露,敏感信息收集,nodejs,["sub.0xczar.com"],4e91eca7b3091522ca4a2628b37cc038,,,,,,,,,
@bsee/accordion,9.9.199,敏感信息泄露,敏感信息收集,nodejs,["sub.0xczar.com"],99e127e1ec87422e91de11ffed5a55f8,,,,,,,,,
@byjustech/identity-js,555.0.0,主机失陷,命令执行,nodejs,["193.161.193.99"],12b9df1f79d481808bc6f0c65e37cb76,,,,,,,,,
@byjustech/identity-js,556.0.0,主机失陷,命令执行,nodejs,["193.161.193.99"],7eab8e032bcebaeb8d1317cea6655fd4,,,,,,,,,
@byjutech/identity-js,556.0.0,主机失陷,命令执行,nodejs,["193.161.193.99"],7eab8e032bcebaeb8d1317cea6655fd4,,,,,,,,,
@capire/bookstore,2.0.1,敏感信息泄露,敏感信息收集,nodejs,["eoypv87e4ux8f4j.m.pipedream.net"],8b7b006f597701282c3b67f5b4d3b068,,,,,,,,,
@capire/reviews,2.0.9,敏感信息泄露,敏感信息收集,nodejs,["eoypv87e4ux8f4j.m.pipedream.net"],6bd3571a7eaffcba59a35bb8e66dae52,,,,,,,,,
@cme-ng-libs/directives,66.0.0,主机失陷,命令执行,nodejs,["51.250.5.185"],15ed91cc5bdd5cf6a706fb867f2a321b,,,,,,,,,
@cme-ng-libs/directives,2.2.2,主机失陷,命令执行,nodejs,[""],ecdd6372f0539bb91d4d457a67013dc5,,,,,,,,,
@cme-ng-libs/inspection-core,66.0.0,主机失陷,命令执行,nodejs,[""],b5d29c52730e4823f69c0b300a7e9ffe,,,,,,,,,
@core-pas/cyb-core,9.9.9,敏感信息泄露,敏感信息收集,nodejs,["169.254.169.254"],ee6ed595abccd88ddbfc7889df67416b,,,,,,,,,
@core-pas/cyb-core,9.9.999,主机失陷,命令执行,nodejs,"[""caf49rdhg02g2q51fbig66cbqix6xdbgy.oast.fun"", ""169.254.169.254""]",b821178b836455d03ab3590329a5954b,,,,,,,,,
@cuda-networks/bds-core,0.9.0,敏感信息泄露,敏感信息收集,nodejs,["updates.secinfo.cf"],f0199427d081d23d11ac252bcdd8513d,,,,,,,,,
@dpopp/database-client,0.0.1,敏感信息泄露,敏感信息收集,nodejs,["eowqj8x3wajuqk2.m.pipedream.net"],47734acc4e6ed951b7fc8b456bfeaa5f,,,,,,,,,
@dpopp/identity,0.0.1,敏感信息泄露,敏感信息收集,nodejs,["eowqj8x3wajuqk2.m.pipedream.net"],296d9e38160adbad7113a9bbe15a9503,,,,,,,,,
@dpopp/types,0.0.1,敏感信息泄露,敏感信息收集,nodejs,["eowqj8x3wajuqk2.m.pipedream.net"],95a00b5ef2e8d1fd73b2da7f585b6378,,,,,,,,,
@dqwdqqt/testconf2,99.99.99,敏感信息泄露,敏感信息收集,nodejs,["enqg3ybge8j5rim.m.pipedream.net"],430508a28edb834ccdbb4919c95ecc5e,,,,,,,,,
@dqwdqwas/testconf,99.99.99,敏感信息泄露,敏感信息收集,nodejs,["enijsmnlrny2oi.m.pipedream.net"],23a7faa42900e3a95db4e76cfc76cf1e,,,,,,,,,
@epc-apps/api-ingestor,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["goldfish.dev.radsecau.com"],06d70e0c81f6aae1bb2c97295662565b,,,,,,,,,
@epc-infra/app-lookup-stack,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["goldfish.dev.radsecau.com"],0c4e632366be5012e60201671f133e81,,,,,,,,,
@epc-infra/dns-stack,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["goldfish.dev.radsecau.com"],193f396d3d3ca447edd3955216ed4923,,,,,,,,,
@epc-infra/lambda-utils,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["goldfish.dev.radsecau.com"],f67c3bd85d9bb9d7d32480f65b78db8e,,,,,,,,,
@epc-libraries/cdk-custom-resources,1.0.0,敏感信息泄露,敏感信息收集,nodejs,["goldfish.dev.radsecau.com"],1401304f2003f5ab875c24e378f0f58d,,,,,,,,,
@epic-nc/notification-center,99.3.6,敏感信息泄露,敏感信息收集,nodejs,["4459868ffd128aa396e8a288a894341d.m.pipedream.net"],92e914a481db892a6b7232dcc7ab4b2c,,,,,,,,,
@epic-nc/notification-center,99.3.7,敏感信息泄露,敏感信息收集,nodejs,["4459868ffd128aa396e8a288a894341d.m.pipedream.net"],3c397a79d809ef2435701b6de00b434e,,,,,,,,,
@hoonuit-dashboard/dashboard-core-library,3.0.1,敏感信息泄露,敏感信息收集,nodejs,["canarytokens.com"],cb9e8d0ddce78500f655c7f154f2d241,,,,,,,,,
@immersive-composer/backend-resources,10.0.0,敏感信息泄露,敏感信息收集,nodejs,["dcatrce.kedrns.com"],f05f357eda706e8a63c498823576bcf4,,,,,,,,,
@immersive-composer/backend-resources,10.0.1,敏感信息泄露,敏感信息收集,nodejs,["dcatrce.kedrns.com"],f5237fac620d525232b1f6f508453d41,,,,,,,,,
@immersive-composer/backend-resources,10.0.2,敏感信息泄露,敏感信息收集,nodejs,["dcatrce.kedrns.com"],3d3081afad420f9ed4f7a0effbeb1589,,,,,,,,,
