类型,案例类型,案例编号,状态,主题,指派给,案例设计,交易名称,系统模块,描述,案例执行,测试数据,测试步骤,预期结果,验证日期,测试轮次,专项测试,产品种类,开始日期,计划完成日期,% 完成
测试案例,正例,案例编号01,新建,用户登录,,刘梦月,内屏登陆,内屏功能,理财经理内屏登录系统,,理财经理账号，密码,理财经理输入正确的账号、正确密码点击登录按钮,成功登录系统,,UAT-2,无,无,,,
测试案例,反例,案例编号02,新建,用户登录,,刘梦月,内屏登陆,内屏功能,理财经理内屏登录系统,,理财经理账号，密码,输入错误的账号、正确的密码点击登录按钮,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
测试案例,反例,案例编号03,新建,用户登录,,刘梦月,内屏登陆,内屏功能,理财经理内屏登录系统,,理财经理账号，密码,输入正确的账号、错误的密码点击登录,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
测试案例,反例,案例编号04,新建,用户登录,,刘梦月,内屏登陆,内屏功能,理财经理内屏登录系统,,理财经理账号，密码,账号为空，输入正确的密码,下方页面提示：账号不能为空,,UAT-2,无,无,,,
测试案例,反例,案例编号05,新建,用户登录,,刘梦月,内屏登陆,内屏功能,理财经理内屏登录系统,,理财经理账号，密码,输入正确的账号，密码为空, 下方页面提示：密码不能为空,,UAT-2,无,无,,,
测试案例,正例,案例编号06,新建,用户登录,,刘梦月,内屏登陆,内屏功能,支行管理员内屏登录,,支行管理员账号、密码,支行管理员输入正确的账号、正确密码点击登录按钮,成功登录系统,,UAT-2,无,无,,,
测试案例,反例,案例编号07,新建,用户登录,,刘梦月,内屏登陆,内屏功能,支行管理员内屏登录,,支行管理员账号、密码,输入错误的账号、正确的密码点击登录按钮,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
测试案例,反例,案例编号08,新建,用户登录,,刘梦月,内屏登陆,内屏功能,支行管理员内屏登录,,支行管理员账号、密码,输入正确的账号、错误的密码点击登录,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
测试案例,反例,案例编号09,新建,用户登录,,刘梦月,内屏登陆,内屏功能,支行管理员内屏登录,,支行管理员账号、密码,账号为空，输入正确的密码,下方页面提示：账号不能为空,,UAT-2,无,无,,,
测试案例,反例,案例编号10,新建,用户登录,,刘梦月,内屏登陆,内屏功能,支行管理员内屏登录,,支行管理员账号、密码,输入正确的账号，密码为空, 下方页面提示：密码不能为空,,UAT-2,无,无,,,
测试案例,正例,案例编号11,新建,用户登录,,刘梦月,内屏登陆,内屏功能,总行管理员内屏登录,,总行管理员账号、密码,总行管理员输入正确的账号、正确密码点击登录按钮,成功登录系统,,UAT-2,无,无,,,
测试案例,反例,案例编号12,新建,用户登录,,刘梦月,内屏登陆,内屏功能,总行管理员内屏登录,,总行管理员账号、密码,输入错误的账号、正确的密码点击登录按钮,下方页面提示：账号或密码错误,,UAT-2,无,无,,,
